No.Inscripción,comentarios,Nombre,TIPO,LOCALIDAD,DIRECCIÓN,UPZ,TELEFONO,FECHA-DE- INSCRIPCION
412,,EL PORTAL FUNDACIÓN PARA HIJOS DE RECLUSOS,ICBF,RAFAEL URIBE URIBE,AV 13 62 40 SUR (VIA USME),APOGEO,7142243,26/02/2007413,,CENTRO INFANTIL SUSAN LUDINGTON,SED-PRI,TEUSAQUILLO,KR 35 BIS 58 55,LA ESMERALDA,2214094,26/02/2007
413,,CENTRO INFANTIL SUSAN LUDINGTON,SED-PRI,TEUSAQUILLO,KR 35 BIS 58 55,LA ESMERALDA,2214094,26/02/2007416,,EL JARDÍN DEL ARCO IRIS PREESCOLAR,SED-PRI,ANTONIO NARIÑO,KR 12 10 A 05 SUR,CIUDAD JARDÍN,2890118,27/02/2007
416,,EL JARDÍN DEL ARCO IRIS PREESCOLAR,SED-PRI,ANTONIO NARIÑO,KR 12 10 A 05 SUR,CIUDAD JARDÍN,2890118,27/02/2007418,,JARDÍN INFANTIL EL CANGURO,SED-PRI,ENGATIVÁ,TV 73 B 81 F 10,"EL MINUTO DE DIOS",2526741,27/02/2007
418,,JARDÍN INFANTIL EL CANGURO,SED-PRI,ENGATIVÁ,TV 73 B 81 F 10,"EL MINUTO DE DIOS",2526741,27/02/2007421,,CENTRO DE PEDAGOGÍA INICIAL CENPI,PRI,KENNEDY,CL 6 A 89 42,CALANDAIMA,7400462,28/02/2007
421,,CENTRO DE PEDAGOGÍA INICIAL CENPI,PRI,KENNEDY,CL 6 A 89 42,CALANDAIMA,7400462,28/02/2007429,,GIMNASIO MARÍA LUISA TRICHETH,PRI,KENNEDY,KR 78 G 8 D 40,CASTILLA,2925702,28/02/2007
429,,GIMNASIO MARÍA LUISA TRICHETH,PRI,KENNEDY,KR 78 G 8 D 40,CASTILLA,2925702,28/02/2007434,,JARDÍN INFANTIL ISLA DEL SOL,JSDIS,TUNJUELITO,CL 67 B SUR 63 15 SUR,VENECIA,7106813 - 7411011,2/03/2007
434,,JARDÍN INFANTIL ISLA DEL SOL,JSDIS,TUNJUELITO,CL 67 B SUR 63 15 SUR,VENECIA,7106813 - 7411011,2/03/2007445,,RISITAS INFANTILES PATIO BONITO,JSDIS,KENNEDY,KR 86 D 39 A 05 SUR,PATIO BONITO,2996310,2/03/2007
445,,RISITAS INFANTILES PATIO BONITO,JSDIS,KENNEDY,KR 86 D 39 A 05 SUR,PATIO BONITO,2996310,2/03/2007446,,J.S. NUEVA ROMA,JS,SAN CRISTÓBAL,KR 4 ESTE 48 C 36 SUR,"LOS LIBERTADORES",2068522,2/03/2007
446,,J.S. NUEVA ROMA,JS,SAN CRISTÓBAL,KR 4 ESTE 48 C 36 SUR,"LOS LIBERTADORES",2068522,2/03/2007448,,JARDÍN INFANTIL ANTONIO NARIÑO,JSDIS,PUENTE ARANDA,KR 59 17 60,"PUENTE ARANDA",4203421,2/03/2007
448,,JARDÍN INFANTIL ANTONIO NARIÑO,JSDIS,PUENTE ARANDA,KR 59 17 60,"PUENTE ARANDA",4203421,2/03/2007449,,JARDÍN INFANTIL SANTA CECILIA,JSDIS,USAQUÉN,KR 5 A 164 A 03,"SAN CRISTÓBAL NORTE",6682035 - 7310020,2/03/2007
449,,JARDÍN INFANTIL SANTA CECILIA,JSDIS,USAQUÉN,KR 5 A 164 A 03,"SAN CRISTÓBAL NORTE",6682035 - 7310020,2/03/2007451,,JARDÍN INFANTIL CASA LOMA,JSDIS,USME,TV 8 A ESTE 88 I 41 SUR,GRAN YOMASA,7645212,2/03/2007
451,,JARDÍN INFANTIL CASA LOMA,JSDIS,USME,TV 8 A ESTE 88 I 41 SUR,GRAN YOMASA,7645212,2/03/2007452,,JARDÍN INFANTIL SATELITE LAS FERIAS,JSDIS,ENGATIVÁ,KR 69 J 73 11,LAS FERIAS,2502900,2/03/2007
452,,JARDÍN INFANTIL SATELITE LAS FERIAS,JSDIS,ENGATIVÁ,KR 69 J 73 11,LAS FERIAS,2502900,2/03/2007453,,JARDÍN INFANTIL ALQUERIA LA FRAGUA,JSDIS,KENNEDY,KR 68 A 36 25 SUR,CARVAJAL,2700329,2/03/2007
453,,JARDÍN INFANTIL ALQUERIA LA FRAGUA,JSDIS,KENNEDY,KR 68 A 36 25 SUR,CARVAJAL,2700329,2/03/2007454,,JARDÍN INFANTIL VILLA CLEMENCIA,JSDIS,BOSA,KR 86 A 57 C 47 SUR,"BOSA OCCIDENTAL",7833582 - 7832458,2/03/2007
454,,JARDÍN INFANTIL VILLA CLEMENCIA,JSDIS,BOSA,KR 86 A 57 C 47 SUR,"BOSA OCCIDENTAL",7833582 - 7832458,2/03/2007455,,JARDÍN SOCIAL NEBRASKA,JS,USME,KR 16 C ESTE 66 I 70 SUR,DANUBIO,7646292,2/03/2007
